city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Cayenne,75,GF,1538152200,59,4.94,-52.33,91.4,12.75
Cherskiy,44,RU,1538154135,95,68.75,161.3,26.84,2.68
Punta Arenas,0,CL,1538150400,100,-53.16,-70.91,48.2,11.41
Vardo,75,NO,1538149800,86,70.37,31.11,33.8,8.05
Bredasdorp,8,ZA,1538150400,55,-34.53,20.04,60.8,20.8
Uray,64,RU,1538154137,90,60.13,64.8,42.32,8.28
Atuona,48,PF,1538154138,100,-9.8,-139.03,79.13,12.19
Noshiro,56,JP,1538154138,100,40.21,140.05,63.65,5.37
Georgetown,12,SH,1538153978,100,-7.93,-14.42,75.08,17.67
Beringovskiy,92,RU,1538154138,100,63.05,179.32,44.3,21.81
Nikolskoye,0,RU,1538152200,48,59.7,30.79,44.6,17.9
Machilipatnam,20,IN,1538152200,94,16.18,81.14,80.6,4.59
Westport,100,NZ,1538154139,100,-41.75,171.6,42.86,0.45
Marystown,92,CA,1538154139,96,47.17,-55.16,54.11,18.79
Port Alfred,0,ZA,1538154124,79,-33.59,26.89,65.27,20.92
Suphan Buri,56,TH,1538154140,96,14.47,100.12,75.35,2.57
Grindavik,75,IS,1538152200,81,63.84,-22.43,46.4,29.97
Kargil,36,IN,1538154140,77,34.57,76.1,25.85,1.57
Kodiak,90,US,1538149980,53,39.95,-94.76,60.08,18.34
Busselton,56,AU,1538153739,100,-33.64,115.35,59.06,21.7
Severo-Kurilsk,68,RU,1538154141,100,50.68,156.12,44.75,8.39
Ketchikan,40,US,1538150160,89,55.34,-131.65,55.04,21.92
Los Llanos de Aridane,40,ES,1538152200,69,28.66,-17.92,77.0,14.99
Qaanaaq,24,GL,1538154142,100,77.48,-69.36,16.85,4.14
Necochea,88,AR,1538154142,77,-38.55,-58.74,64.55,21.47
Tessalit,12,ML,1538154142,17,20.2,1.01,92.18,4.81
Phibun Mangsahan,40,TH,1538150400,94,15.24,105.23,80.6,2.24
Novikovo,0,RU,1538154143,80,51.15,37.89,54.38,12.08
Manoel Urbano,56,BR,1538154143,71,-8.84,-69.26,86.51,3.02
Rikitea,24,PF,1538153976,100,-23.12,-134.97,72.02,2.24
Bambous Virieux,40,MU,1538150400,69,-20.34,57.76,73.4,13.87
Kulunda,32,RU,1538154144,65,52.57,78.94,57.98,12.75
Hithadhoo,92,MV,1538153982,100,-0.6,73.08,81.65,22.15
Upernavik,76,GL,1538154144,100,72.79,-56.15,33.68,11.97
Ushuaia,75,AR,1538150400,39,-54.81,-68.31,48.2,13.87
Zalantun,80,CN,1538154144,95,48.0,122.72,49.7,5.14
Sao Felix do Xingu,24,BR,1538153863,69,-6.64,-51.99,86.78,2.35
Bay City,90,US,1538152500,81,43.59,-83.89,58.64,4.7
Clyde River,90,CA,1538150400,86,70.47,-68.59,26.6,9.17
Gemena,80,CD,1538154145,91,3.25,19.78,74.27,2.13
Hermanus,24,ZA,1538153736,70,-34.42,19.24,53.75,6.15
Arraial do Cabo,75,BR,1538150400,78,-22.97,-42.02,78.8,9.17
Gusau,8,NG,1538154145,75,12.17,6.66,79.76,3.91
Oistins,40,BB,1538150400,83,13.07,-59.53,82.4,19.46
Mahebourg,40,MU,1538150400,69,-20.41,57.7,73.4,13.87
Hilo,1,US,1538150160,87,19.71,-155.08,71.96,4.7
Cape Town,0,ZA,1538153893,93,-33.93,18.42,58.7,9.95
Avarua,40,CK,1538150400,68,-21.21,-159.78,71.6,2.24
Kapaa,90,US,1538150160,96,22.08,-159.32,75.92,10.29
Kalaleh,0,IR,1538153902,86,37.38,55.49,63.47,3.36
Tholey,75,DE,1538153400,71,49.48,7.03,57.2,12.75
Nome,90,US,1538151300,76,30.04,-94.42,78.98,6.93
Chilca,40,PE,1538152200,22,-13.22,-72.34,68.0,6.93
Flinders,40,AU,1538150400,87,-34.58,150.85,51.8,6.93
Leningradskiy,24,RU,1538154146,96,69.38,178.42,39.8,24.49
Provideniya,92,RU,1538154146,94,64.42,-173.23,45.92,34.34
Vaini,75,TO,1538150400,83,-21.2,-175.2,73.4,5.82
Fortuna,90,US,1538152500,100,40.6,-124.16,51.98,3.91
Hegang,48,CN,1538154147,86,47.34,130.28,39.26,1.9
Ilulissat,75,GL,1538153400,59,69.22,-51.1,37.4,5.82
New Norfolk,0,AU,1538152200,89,-42.78,147.06,39.2,12.75
Zhigalovo,24,RU,1538154147,98,54.81,105.15,34.76,2.24
Thompson,75,CA,1538150400,63,55.74,-97.86,30.2,8.05
Hovd,12,MN,1538154148,78,48.01,91.64,37.1,2.57
Lebu,88,CL,1538154148,98,-37.62,-73.65,53.21,17.9
Pevek,64,RU,1538154148,93,69.7,170.27,42.32,15.21
Chuy,92,UY,1538154148,95,-33.69,-53.46,63.56,21.03
Hobart,0,AU,1538152200,77,-42.88,147.33,39.2,12.75
Albany,12,AU,1538153982,78,-35.02,117.88,49.88,11.63
Marawi,0,SD,1538154148,18,18.48,31.82,90.2,6.82
Port Augusta,40,AU,1538150400,57,-32.49,137.76,51.8,12.75
Kaitangata,0,NZ,1538154149,73,-46.28,169.85,35.03,9.62
Chokurdakh,24,RU,1538153783,96,70.62,147.9,29.54,11.3
Torbay,90,CA,1538152200,87,47.66,-52.73,55.4,6.93
Walvis Bay,0,NA,1538150400,46,-22.95,14.51,71.6,9.17
Mount Gambier,88,AU,1538154149,61,-37.83,140.78,46.46,4.7
Kinlochleven,20,GB,1538151600,66,56.71,-4.97,51.8,14.99
Bodden Town,20,KY,1538150400,70,19.28,-81.25,89.6,11.41
Castro,80,CL,1538154149,98,-42.48,-73.76,51.32,8.5
Ancud,92,CL,1538154150,95,-41.87,-73.83,52.31,8.84
Lahad Datu,8,MY,1538154150,100,5.02,118.33,74.9,2.01
Port Elizabeth,20,ZA,1538151840,63,-33.92,25.57,60.8,21.92
Umba,80,RU,1538154150,100,66.69,34.34,41.42,15.1
Mbini,40,GQ,1538150400,83,1.58,9.62,82.4,4.7
Geraldton,0,AU,1538152200,55,-28.77,114.6,64.4,11.41
Ribeira Grande,20,PT,1538152200,78,38.52,-28.7,77.0,8.05
Takoradi,76,GH,1538154151,95,4.89,-1.75,77.69,8.61
Tikapur,0,NP,1538154151,92,28.53,81.12,69.32,3.02
Bluff,64,NZ,1538154152,92,-46.6,168.33,52.58,25.28
Kencong,12,ID,1538154152,88,-7.78,112.24,64.46,4.59
Kavieng,0,PG,1538154152,100,-2.57,150.8,83.36,11.52
Talnakh,24,RU,1538154152,79,69.49,88.39,46.1,8.16
Pishin,0,PK,1538154152,48,30.58,67.0,46.1,0.67
Khatanga,48,RU,1538154153,90,71.98,102.47,44.93,17.0
Port Said,44,EG,1538154153,19,25.34,30.55,94.79,11.3
Tasiilaq,75,GL,1538153400,93,65.61,-37.64,35.6,16.11
Svetlaya,0,RU,1538154153,100,46.54,138.33,52.76,5.37
Kaeo,0,NZ,1538154153,77,-35.1,173.78,35.3,2.68
Dikson,24,RU,1538154153,89,73.51,80.55,40.16,9.4
Quelimane,0,MZ,1538150400,83,-17.88,36.89,78.8,14.99
Mar del Plata,36,AR,1538153766,46,-46.43,-67.52,63.83,12.64
Constitucion,90,MX,1538149620,100,23.99,-104.67,64.4,4.36
Yumen,0,CN,1538154154,55,40.29,97.04,40.7,8.72
Barrow,1,US,1538152500,51,39.51,-90.4,69.08,6.93
Jalu,0,LY,1538154155,35,29.03,21.55,70.04,5.03
Monterey,90,US,1538152500,87,36.6,-121.89,57.2,3.8
Fairmont,90,US,1538153700,66,40.64,-97.59,51.8,16.11
Isangel,100,VU,1538154156,100,-19.55,169.27,68.42,20.02
Lompoc,90,US,1538152500,93,34.64,-120.46,57.2,4.25
Hay River,90,CA,1538150400,69,60.82,-115.79,35.6,19.46
Okha,0,RU,1538154156,80,53.59,142.95,50.42,12.75
Launceston,0,AU,1538152200,80,-41.43,147.14,35.6,3.02
Kolkwitz,0,DE,1538153400,58,50.72,11.42,53.6,6.93
Rawson,0,AR,1538154157,56,-43.3,-65.11,66.26,17.34
Puerto Ayora,75,EC,1538150400,69,-0.74,-90.35,77.0,13.87
Sao Filipe,0,CV,1538153977,85,14.9,-24.5,81.74,16.22
Inirida,56,CO,1538154157,63,3.87,-67.92,89.57,2.8
Wajid,64,SO,1538154157,65,3.81,43.25,79.58,10.96
Sorland,20,NO,1538151600,60,67.67,12.69,42.8,3.36
Te Anau,32,NZ,1538154158,72,-45.41,167.72,44.93,17.56
Maceio,40,BR,1538150400,54,-9.67,-35.74,84.2,8.05
Gamba,88,GA,1538154158,97,-2.72,10.02,77.6,9.62
Amecameca,75,MX,1538153040,55,19.13,-98.77,73.4,5.82
Mayo,20,CA,1538150400,92,63.59,-135.9,21.2,2.24
Bafoulabe,44,ML,1538154159,76,13.81,-10.83,87.5,2.91
Jamestown,88,SH,1538154159,100,-15.94,-5.72,67.61,14.54
Denpasar,24,ID,1538154133,100,-8.65,115.22,68.78,1.79
Dunedin,0,NZ,1538154159,73,-45.87,170.5,37.46,10.63
Butaritari,8,KI,1538154159,100,3.07,172.79,84.98,6.71
Ponta do Sol,20,PT,1538152200,65,32.67,-17.1,78.8,19.46
Paamiut,92,GL,1538154160,94,61.99,-49.67,40.43,18.01
Touros,0,BR,1538154160,62,-5.2,-35.46,85.25,16.78
Sao Joao da Barra,12,BR,1538154160,97,-21.64,-41.05,75.98,15.43
Lagoa,0,PT,1538152200,65,37.14,-8.45,78.8,5.82
Plettenberg Bay,0,ZA,1538153879,100,-34.05,23.37,61.76,31.65
Hasaki,20,JP,1538152200,93,35.73,140.83,60.8,2.24
Yulara,92,AU,1538150400,34,-25.24,130.99,68.0,20.8
Takapau,80,NZ,1538154161,92,-40.02,176.35,41.06,5.59
Lyubytino,12,RU,1538154162,93,58.81,33.39,39.98,14.65
Nizhneudinsk,0,RU,1538154162,89,54.91,99.03,34.76,5.14
El Tigre,44,VE,1538154162,93,8.89,-64.25,84.98,9.06
Vila Franca do Campo,75,PT,1538152200,88,37.72,-25.43,73.4,8.05
Kulhudhuffushi,48,MV,1538153976,100,6.62,73.07,81.92,15.77
Vangaindrano,48,MG,1538154162,93,-23.35,47.6,66.53,3.91
Bichura,92,RU,1538154162,97,50.59,107.6,35.57,5.26
Qujing,92,CN,1538154163,100,25.49,103.8,55.55,3.13
Faanui,8,PF,1538154163,100,-16.48,-151.75,77.15,5.7
Bloemfontein,0,ZA,1538150400,11,-29.12,26.22,73.4,10.29
Kilindoni,8,TZ,1538154163,99,-7.91,39.67,78.68,13.42
Poya,88,NC,1538154163,100,-21.35,165.16,69.23,19.91
Saint-Philippe,0,RE,1538152200,64,-21.36,55.77,71.6,23.04
Swinford,75,IE,1538150400,71,53.94,-8.95,51.8,2.24
Iracoubo,8,GF,1538154164,63,5.48,-53.21,88.58,6.38
Iisalmi,0,FI,1538153400,60,63.56,27.19,39.2,10.29
Lipari,75,IT,1538150100,43,38.47,14.95,71.6,9.17
Yenagoa,92,NG,1538154164,93,4.92,6.26,76.52,7.38
Cidreira,68,BR,1538154165,90,-30.17,-50.22,70.22,19.35
Soyo,8,AO,1538154165,75,-6.13,12.37,77.6,6.71
Obo,32,CF,1538154165,87,5.39,26.49,75.98,2.68
Walla Walla,1,US,1538150160,44,46.06,-118.33,60.98,4.36
Yellowknife,75,CA,1538150400,90,62.45,-114.38,32.0,13.87
Miri,75,MY,1538150400,94,4.41,114.01,78.8,3.36
Plastun,68,RU,1538154166,82,44.76,136.29,35.21,2.13
Dingle,0,IE,1538154166,90,52.14,-10.27,56.0,7.72
Biryusinsk,0,RU,1538154166,85,55.96,97.82,36.2,5.7
Brae,92,GB,1538153400,53,60.4,-1.35,51.8,21.92
Bhum,24,IN,1538154167,94,18.47,75.67,68.96,2.91
Maniitsoq,88,GL,1538154167,100,65.42,-52.9,35.66,12.75
Sola,76,VU,1538154167,100,-13.88,167.55,78.5,20.24
Longyearbyen,40,SJ,1538149800,68,78.22,15.64,26.6,18.34
College,1,US,1538150280,17,64.86,-147.8,33.26,9.17
Patancheru,75,IN,1538152200,94,17.53,78.27,78.8,6.93
Vanavara,0,RU,1538154168,81,60.35,102.28,32.15,2.35
Qaqortoq,75,GL,1538153400,48,60.72,-46.03,44.6,23.04
Tuatapere,8,NZ,1538154168,87,-46.13,167.69,52.31,25.61
Aksay,0,KZ,1538154168,69,51.17,53.01,49.7,10.85
Komsomolskiy,80,RU,1538154169,89,67.55,63.78,35.03,2.91
Luderitz,0,NA,1538154169,65,-26.65,15.16,62.39,25.72
Pemba,20,MZ,1538150400,78,-12.97,40.52,77.0,10.29
San Cristobal,88,EC,1538154169,96,-1.02,-79.44,67.7,3.24
Carnarvon,0,AU,1538154170,97,-24.87,113.63,66.08,13.87
Samarai,92,PG,1538154170,100,-10.62,150.67,76.43,12.19
Kalmunai,56,LK,1538154170,100,7.42,81.82,74.72,3.13
Lagos,0,PT,1538152200,65,37.1,-8.67,78.8,5.82
Ust-Koksa,0,RU,1538154171,80,50.27,85.62,30.44,2.35
Pailon,75,BO,1538150400,52,-17.66,-62.72,91.4,11.41
Lorengau,12,PG,1538154172,100,-2.02,147.27,82.28,10.4
Verkhoyansk,56,RU,1538154172,78,67.55,133.39,17.3,2.57
Saldanha,20,ZA,1538150400,59,-33.01,17.94,60.8,9.17
Grand Island,90,US,1538153700,65,40.92,-98.34,48.2,12.75
Sarasota,20,US,1538152500,59,27.34,-82.53,91.04,3.36
Mayor Pablo Lagerenza,76,PY,1538154173,61,-19.93,-60.77,92.09,14.54
Lhokseumawe,36,ID,1538154173,100,5.18,97.15,80.93,3.8
San Patricio,40,MX,1538149380,66,19.22,-104.7,91.4,3.24
Zyryanka,92,RU,1538154174,85,65.73,150.89,30.44,5.82
Ambon,40,ID,1538152200,94,-3.7,128.18,75.2,8.05
Ciudad Bolivar,0,VE,1538154174,67,8.12,-63.55,91.82,6.15
Fairbanks,1,US,1538150280,17,64.84,-147.72,33.26,9.17
Igrim,64,RU,1538154175,76,63.19,64.42,42.41,4.81
Sioux Lookout,90,CA,1538151900,86,50.1,-91.92,39.2,5.82
Carballo,20,ES,1538152200,64,43.21,-8.69,75.2,6.93
Teguldet,68,RU,1538154175,84,57.31,88.17,56.36,8.28
Ahipara,0,NZ,1538154175,100,-35.17,173.16,42.5,2.91
Opuwo,0,NA,1538154175,20,-18.06,13.84,76.88,6.04
Eyl,56,SO,1538154176,83,7.98,49.82,78.95,17.11
Shiyan,0,CN,1538154176,81,32.65,110.78,48.53,2.13
Grand Gaube,40,MU,1538150400,69,-20.01,57.66,73.4,13.87
Tiksi,56,RU,1538154176,96,71.64,128.87,25.22,5.59
Maputo,88,MZ,1538153912,34,-25.97,32.57,85.7,6.49
Biak,88,ID,1538154176,100,-0.91,122.88,75.89,3.91
Tuktoyaktuk,90,CA,1538150400,74,69.44,-133.03,30.2,19.46
Governador Valadares,0,BR,1538154100,31,-18.85,-41.95,94.34,4.59
Lichinga,0,MZ,1538150400,33,-13.3,35.25,75.2,10.29
Tautira,20,PF,1538152200,73,-17.73,-149.15,71.6,4.7
Ambilobe,0,MG,1538154177,56,-13.19,49.05,75.35,17.45
Pozo Colorado,36,PY,1538154177,77,-23.49,-58.8,87.68,10.07
Sibu,75,MY,1538150400,100,2.29,111.83,77.0,2.8
Saint George,20,BM,1538150100,61,32.38,-64.68,80.6,5.82
Kieta,20,PG,1538154178,100,-6.22,155.63,75.53,5.93
Nola,24,CF,1538154178,95,3.52,16.05,69.5,2.24
Tchamba,24,TG,1538154178,92,9.03,1.42,78.05,2.91
Alexandria,0,EG,1538150400,61,31.2,29.89,84.2,10.29
Homer,90,US,1538152620,92,59.64,-151.54,48.92,8.39
Winona,1,US,1538152500,61,44.05,-91.64,49.46,6.93
Salalah,0,OM,1538149800,88,17.01,54.1,77.0,3.36
Banda Aceh,8,ID,1538154179,99,5.56,95.32,74.36,1.9
Cheveresu Mare,0,RO,1538152200,37,45.67,21.49,66.2,3.36
Tezu,36,IN,1538154180,75,27.93,96.16,64.19,1.9
Port Shepstone,0,ZA,1538154180,77,-30.74,30.45,70.4,16.44
Sitka,80,US,1538154180,67,37.17,-99.65,69.86,15.55
Bud,75,NO,1538151600,75,62.91,6.91,46.4,23.04
Gornopravdinsk,92,RU,1538154181,100,60.06,69.92,44.12,6.93
Russell,0,NZ,1538154181,77,-35.26,174.12,35.3,2.68
Portland,76,AU,1538154181,69,-33.35,149.98,48.53,5.59
Bulgan,0,MN,1538154181,75,48.81,103.53,20.54,4.47
Paranaiba,20,BR,1538154181,64,-19.68,-51.19,86.96,6.04
Cabedelo,0,BR,1538154182,82,-6.97,-34.84,81.38,13.42
Palmer,90,US,1538151780,100,61.6,-149.11,48.02,3.36
Richards Bay,36,ZA,1538154182,79,-28.77,32.06,69.86,14.99
Sawakin,0,SD,1538154182,96,19.1,37.33,79.85,3.02
Altay,0,CN,1538154182,70,47.83,88.13,23.42,2.13
East London,0,ZA,1538150400,59,-33.02,27.91,62.6,20.8
Bonavista,80,CA,1538154183,94,48.65,-53.11,52.22,18.57
Makhachkala,32,RU,1538152200,72,42.98,47.5,62.6,15.66
Ordzhonikidze,0,UA,1538154183,100,44.96,35.36,55.19,3.13
Aconibe,44,GQ,1538154183,94,1.29,10.94,73.1,2.68
Manado,20,ID,1538152200,88,1.49,124.85,73.4,1.57
Wanxian,0,CN,1538154184,91,30.8,108.39,52.04,2.91
Ulaanbaatar,75,MN,1538154000,74,47.92,106.92,33.8,13.42
Klaksvik,92,FO,1538151600,93,62.23,-6.59,46.4,17.22
Cabo San Lucas,40,MX,1538149800,78,22.89,-109.91,82.4,3.36
Birao,56,CF,1538154185,76,10.3,22.78,81.83,1.9
Lubango,64,AO,1538154247,42,-14.92,13.49,78.77,2.57
Narsaq,75,GL,1538153400,48,60.91,-46.05,44.6,23.04
Victoria,75,US,1538152020,82,28.81,-97.0,78.98,3.36
Mongu,0,ZM,1538154186,23,-15.27,23.14,80.93,7.16
Kavaratti,76,IN,1538154186,100,10.57,72.64,82.82,9.4
Natal,20,BR,1538150400,51,-5.81,-35.21,86.0,20.8
Coquimbo,0,CL,1538150400,77,-29.95,-71.34,59.0,13.87
Sangar,0,RU,1538154187,82,63.92,127.47,32.87,5.37
Meulaboh,64,ID,1538154188,100,4.14,96.13,80.03,5.48
Kiama,40,AU,1538150400,87,-34.67,150.86,51.8,6.93
Arman,90,RU,1538150400,93,59.7,150.17,51.8,15.66
The Valley,20,AI,1538150400,62,18.22,-63.06,87.8,17.22
Ranong,68,TH,1538154189,100,9.96,98.62,81.29,3.8
Beyneu,0,KZ,1538154189,74,45.32,55.19,51.05,2.91
Kharovsk,92,RU,1538154189,97,59.95,40.21,41.6,9.95
Korla,88,CN,1538154189,82,41.76,86.15,47.54,2.68
Yarada,0,IN,1538154147,96,17.65,83.27,86.06,7.72
Tabas,0,IR,1538154190,42,33.6,56.92,57.8,2.68
Dargaville,68,NZ,1538154190,76,-35.94,173.86,45.38,3.58
Chuguyevka,64,RU,1538154191,84,44.17,133.87,39.62,2.24
Port Lincoln,24,AU,1538154191,100,-34.72,135.86,47.36,6.38
